k,Silhouette Score
2,0.2891921907881278
3,0.19591959016671304
4,0.16351976232792234
5,0.14172513495939157
6,0.03593128422300028
7,0.036219688625479654
8,0.04476089067301767
9,0.024397154263253982
10,0.024605939503927695
